Gene,"k_on, k_off, k_syn",freq_point,lower,upper ,size_point,lower,upper ,
ENSG00000116774.7,[ 1.57902591  9.43284114 10.53898837],[1.42112332,nan,nan],[1.31837334,1.06717946,1.58980113],
ENSG00000114850.2,[ 3.73723638 36.74285519 37.61164022],[3.17665092,nan,nan],[1.36144786,1.06853725,1.68690053],
ENSG00000135390.13,[  5.80363136 342.05069496 369.17169415],[4.35272352,nan,nan],[1.1116681,1.06864086,1.15482808],
ENSG00000175334.3,[ 4.34782441 74.9350739  85.37784707],[3.69565075,nan,nan],[1.13935761,1.09467853,1.18689685],
ENSG00000156467.5,[ 3.83701384 16.21627531 23.24579303],[3.83701384,nan,nan],[1.39048079,1.10966512,1.75342455],
ENSG00000161031.8,[5.22003920e-01 5.95999274e+02 7.02621824e+02],[0.52200392,nan,nan],[1.17889712,1.11311224,1.24881342],
ENSG00000182004.8,[  5.08639178 103.39985023 120.32857073],[5.08639178,nan,nan],[1.16372094,1.11834472,1.20943234],
ENSG00000137710.10,[  2.84278365 363.97813266 426.49127449],[2.84278365,nan,nan],[1.17174972,1.12674315,1.21810829],
ENSG00000127540.7,[  4.72174445 202.10466705 231.48638243],[3.77739556,nan,nan],[1.17974007,1.13151291,1.22219034],
ENSG00000104979.4,[ 3.93637787 32.58826369 37.04541539],[3.54274008,nan,nan],[1.40959689,1.13569069,1.7476348,]
ENSG00000078596.6,[  2.81637475 335.88557439 397.42222965],[2.81637475,nan,nan],[1.1832072,1.13804523,1.22947368],
ENSG00000155368.12,[ 3.89258178 13.73377759 20.04490856],[3.89258178,nan,nan],[1.45953351,1.14476692,1.82004871],
ENSG00000112559.9,[ 1.75772263 47.90322913 60.92013226],[1.84560876,nan,nan],[1.19542931,1.14863373,1.24487993],
ENSG00000116649.5,[ 3.03432506 32.55192396 41.75124265],[3.03432506,nan,nan],[1.28260445,1.15022917,1.52833029],
ENSG00000166851.10,[0.4858583  4.85971341 6.43887728],[0.4858583,nan,nan],[1.32495,1.15791393,1.5353059,]
ENSG00000110492.11,[  1.94829114 454.56440553 548.21676717],[1.94829114,nan,nan],[1.20602661,1.1579276,1.254473,]
ENSG00000134057.10,[  0.73399909 574.91339292 702.66840641],[0.73399909,nan,nan],[1.2222161,1.1633669,1.28387978],
ENSG00000167088.6,[ 4.68796056 57.32297381 69.71885391],[3.98476648,nan,nan],[1.21624628,1.16945086,1.26628092],
ENSG00000159176.9,[  2.92785692 133.49319597 162.8338117 ],[2.92785692,nan,nan],[1.2197911,1.17476781,1.26940257],
ENSG00000119801.8,[ 1.42581182 51.56092738 66.63120118],[1.49710241,nan,nan],[1.25351246,1.18511624,1.26880221],
ENSG00000099624.3,[ 4.11818856 16.86476167 18.1043447 ],[3.29455084,nan,nan],[1.58878202,1.18586404,2.07706259],
ENSG00000173915.8,[ 4.524832   42.08548231 55.07019883],[4.524832,nan,nan],[1.30853196,1.18662975,1.60422153],
ENSG00000169136.4,[  0.77878337 491.24679549 616.64051619],[0.77878337,nan,nan],[1.25525606,1.19582208,1.31443518],
ENSG00000069275.12,[  2.72783134 610.25816191 784.48581636],[2.72783134,nan,nan],[1.24693333,1.2029466,1.29691855],
ENSG00000159335.11,[ 3.7529985  73.31695972 91.71306911],[3.37769865,nan,nan],[1.25091206,1.20387347,1.30061338],
ENSG00000140416.15,[5.09572109e-01 5.66260491e+02 7.11477095e+02],[0.50957211,nan,nan],[1.25644841,1.20445574,1.34726241],
ENSG00000118680.8,[  4.63180823 386.59827059 482.26735543],[4.63180823,nan,nan],[1.24746382,1.20515217,1.29738174],
ENSG00000166681.9,[ 3.21310947 18.0092955  23.91569659],[3.052454,nan,nan],[1.52715863,1.23729201,1.82617997],
ENSG00000131747.10,[0.38700959 3.73128122 5.40676764],[0.38700959,nan,nan],[1.44903783,1.26199711,1.67051568],
ENSG00000115163.10,[0.3248508  3.34969625 4.90804871],[0.3248508,nan,nan],[1.46522202,1.26549669,1.69762605],
ENSG00000175130.6,[  2.82355725  84.47364742 112.87389334],[2.68237939,nan,nan],[1.33620243,1.26713411,1.40995654],
ENSG00000149485.12,[  1.6285742  166.70747084 220.08260819],[1.6285742,nan,nan],[1.32017244,1.26860527,1.37308724],
ENSG00000149925.12,[  5.12908466 132.61182491 174.66101044],[4.10326773,nan,nan],[1.31708474,1.27002202,1.36694863],
ENSG00000156411.5,[ 4.00670127 11.01375089 16.10032401],[3.80636621,nan,nan],[1.63725901,1.27516186,2.06397011],
ENSG00000131174.4,[  3.81921877 374.48304763 500.84565703],[3.81921877,nan,nan],[1.33743212,1.28315459,1.38046598],
ENSG00000198467.9,[6.52714022e-01 6.36940222e+02 7.87357343e+02],[0.65271402,nan,nan],[1.34740981,1.28547444,1.42495836],
ENSG00000135486.13,[  5.28375023 115.64573598 154.26133239],[4.4911877,nan,nan],[1.33391284,1.28622046,1.38391557],
ENSG00000241468.3,[ 3.8184442  10.90620544 17.73762176],[3.8184442,nan,nan],[1.62637884,1.28714236,2.00963158],
ENSG00000123144.6,[ 2.98497313  6.47025819 10.69042391],[2.98497313,nan,nan],[1.6522407,1.28777251,2.07794725],
ENSG00000143933.12,[  3.31983758 586.06169161 784.14335146],[3.31983758,nan,nan],[1.33798773,1.28974528,1.38576672],
ENSG00000173207.8,[  3.17275642 377.01564067 506.46145695],[3.17275642,nan,nan],[1.34334336,1.2914525,1.38918104],
ENSG00000173457.6,[  2.01129013 254.13981893 343.31703057],[2.11185464,nan,nan],[1.35089823,1.29482969,1.39723339],
ENSG00000177700.5,[ 3.31987825 44.73847286 60.20832227],[3.15388434,nan,nan],[1.34578403,1.29527682,1.39859006],
ENSG00000125691.8,[ 3.90698496 27.82775748 43.58419851],[3.90698496,nan,nan],[1.56621311,1.2971275,1.86074355],
ENSG00000133169.5,[6.47824704e-01 5.12986929e+02 7.01871592e+02],[0.6478247,nan,nan],[1.36820561,1.30286015,1.43597881],
ENSG00000154723.8,[ 4.40169736 32.7363057  39.45558883],[3.74144276,nan,nan],[1.6391465,1.32398258,2.03246888],
ENSG00000145912.4,[  2.54100067 167.38229831 236.19713013],[2.54100067,nan,nan],[1.41112371,1.36064241,1.46313632],
ENSG00000169689.10,[ 2.28542173 17.73039852 25.89034791],[2.17115064,nan,nan],[1.59164382,1.36561104,1.85843905],
ENSG00000122566.16,[ 4.46209499  9.68451525 17.33668897],[4.46209499,nan,nan],[1.79014525,1.36690888,2.28840944],
ENSG00000067225.13,[ 5.45851475 49.48418017 74.64581316],[5.45851475,nan,nan],[1.50847832,1.37025615,1.82502755],
ENSG00000145494.7,[3.01856121 5.02777954 9.17684331],[3.01856121,nan,nan],[1.82522786,1.3708094,2.36590965],
ENSG00000114942.9,[  3.70978514 662.93859854 956.25246766],[3.70978514,nan,nan],[1.442445,1.37175576,1.47648518],
ENSG00000188229.5,[  1.87630409 379.39203952 549.86625542],[1.87630409,nan,nan],[1.44933525,1.37222689,1.4858275,]
ENSG00000154518.5,[ 3.7178215  34.4375771  52.15479134],[3.7178215,nan,nan],[1.51447331,1.37659868,1.789224,]
ENSG00000117399.9,[ 0.65646551 38.69543024 56.3841569 ],[0.65646551,nan,nan],[1.45712702,1.38938347,1.52820022],
ENSG00000134333.9,[  2.98869289 541.80782923 783.45138898],[2.98869289,nan,nan],[1.44599496,1.39573832,1.49729449],
ENSG00000168653.6,[ 4.58048154 26.14305536 33.05134313],[3.89340931,nan,nan],[1.79523421,1.41553551,2.19581289],
ENSG00000132963.7,[  4.72819021 206.35109714 304.14627225],[4.72819021,nan,nan],[1.47392612,1.42320958,1.52545429],
ENSG00000255823.1,[  2.88990172 110.57702274 163.15047772],[2.31192138,nan,nan],[1.47544647,1.42333796,1.53058623],
ENSG00000103363.10,[ 4.02600346 17.68273125 26.95756071],[3.62340312,nan,nan],[1.75319041,1.44725173,2.13898586],
ENSG00000164405.6,[ 4.56110097 55.24360823 83.00719745],[4.10499087,nan,nan],[1.50256654,1.44983405,1.55857359],
ENSG00000143977.9,[ 4.09371971 13.46580748 24.56021525],[4.09371971,nan,nan],[1.82389473,1.490102,2.19558143],
ENSG00000239672.3,[ 4.89681442 39.85713653 51.8956717 ],[4.16229226,nan,nan],[1.84889985,1.49901261,2.24164705],
ENSG00000179091.4,[  4.07024589 501.97893269 779.08847025],[4.07024589,nan,nan],[1.5520342,1.49973156,1.60621845],
ENSG00000164611.8,[ 1.17727811 41.93388398 65.68486304],[1.23614201,nan,nan],[1.56639111,1.50524748,1.62893879],
ENSG00000087586.13,[0.33562359 4.02826491 6.85609057],[0.33562359,nan,nan],[1.70199595,1.51866116,1.92201489],
ENSG00000169230.5,[  2.50063895  61.51890386 102.97905355],[2.50063895,nan,nan],[1.57350512,1.51902319,1.72537641],
ENSG00000145741.11,[  5.2951229  118.75561227 187.33876511],[3.70658603,nan,nan],[1.57751505,1.52460777,1.63365153],
ENSG00000169100.8,[ 4.28751846 22.81342517 40.35481255],[4.28751846,nan,nan],[1.76890635,1.53068531,2.10179918],
ENSG00000131469.8,[ 4.81116522 55.74226109 88.83782655],[3.84893217,nan,nan],[1.59372485,1.53917097,1.65225493],
ENSG00000103202.8,[ 2.26582828 11.48346089 19.24266753],[2.15253686,nan,nan],[1.82649707,1.56119741,2.10386031],
ENSG00000117450.9,[  4.91997033 386.25649175 624.0975131 ],[4.91997033,nan,nan],[1.61575929,1.56228285,1.66979241],
ENSG00000270672.1,[ 2.48121356 37.00069483 61.04447276],[2.23309221,nan,nan],[1.64981963,1.56443833,1.71125674],
ENSG00000108561.4,[ 4.23333682 17.68924787 26.43758107],[3.5983363,nan,nan],[1.9429235,1.57778653,2.36213695],
ENSG00000205581.6,[ 3.4444588  22.11992201 36.30661732],[3.27223586,nan,nan],[1.88755683,1.5906084,2.19397988],
ENSG00000182718.12,[   4.18629335  626.69862778 1034.05315194],[4.18629335,nan,nan],[1.65000066,1.59711346,1.70607231],
ENSG00000188846.9,[  5.34654268 222.09434644 368.80064508],[4.27723414,nan,nan],[1.66055846,1.60590109,1.71671415],
ENSG00000196139.7,[ 1.01620908 36.60146612 64.67401976],[1.06701954,nan,nan],[1.71396957,1.62209301,1.7381624,]
ENSG00000074800.9,[  5.80268905 169.27580367 285.988176  ],[5.80268905,nan,nan],[1.68948054,1.63415232,1.74597549],
ENSG00000127184.6,[  5.38160919 176.0873116  298.03189903],[4.03620689,nan,nan],[1.69252342,1.63738579,1.75020946],
ENSG00000160932.6,[ 2.78296041 29.32019802 48.08082397],[2.50466436,nan,nan],[1.98422251,1.71785095,2.25796801],
ENSG00000148773.8,[ 0.70643482  9.84663338 17.0755504 ],[0.67111308,nan,nan],[1.89022473,1.71899026,2.11489231],
ENSG00000189159.11,[  2.75175508 433.08434857 788.35201677],[2.75175508,nan,nan],[1.8203198,1.75372315,1.87301601],
ENSG00000161960.10,[  4.72866672 512.26780984 934.97334718],[4.72866672,nan,nan],[1.82516514,1.76451998,1.88084834],
ENSG00000167283.3,[ 4.65539702 26.6287159  53.40415176],[4.65539702,nan,nan],[2.00550984,1.78996662,2.363316,]
ENSG00000167468.12,[ 3.26037686 32.57525039 65.4138115 ],[3.26037686,nan,nan],[2.00808315,1.80285123,2.19798299],
ENSG00000126267.4,[ 3.57981628  8.03579917 17.71394204],[3.57981628,nan,nan],[2.20437839,1.81405441,2.64339741],
ENSG00000179271.1,[ 4.62765411 45.54032629 62.74560959],[3.70212329,nan,nan],[2.2044852,1.8188508,2.60460881],
ENSG00000153048.6,[ 2.82770956  7.91139163 17.46947353],[2.82770956,nan,nan],[2.20814167,1.87483271,2.57696797],
ENSG00000172115.4,[ 4.28746696 43.31681487 73.6772311 ],[3.64434692,nan,nan],[2.26218658,1.91860164,2.59176263],
ENSG00000080824.14,[   3.67563422  535.66868921 1130.65221741],[3.85941593,nan,nan],[2.04740854,1.97366305,2.09528295],
ENSG00000182809.6,[  2.22360289 306.92920927 627.96648264],[2.22360289,nan,nan],[2.04596521,1.98029742,2.11275321],
ENSG00000104529.13,[  4.06632059  50.02275026 108.00392335],[4.06632059,nan,nan],[2.15909607,1.98374344,2.22840064],
ENSG00000188612.7,[ 3.41795879  4.773929   12.03489085],[3.41795879,nan,nan],[2.52096142,1.99255056,3.13383316],
ENSG00000099901.12,[ 4.45541716 34.38902295 53.94200896],[3.56433373,nan,nan],[2.41561657,2.01926728,2.81558835],
ENSG00000106211.8,[  2.93778862  83.11738    177.54787281],[2.93778862,nan,nan],[2.13611007,2.06647343,2.20278262],
ENSG00000176340.3,[ 3.72868796 44.25424312 95.95088916],[3.35581916,nan,nan],[2.16817377,2.08335166,2.23994546],
ENSG00000186010.14,[ 2.89972728  4.62031118 11.96665733],[2.89972728,nan,nan],[2.59001112,2.12479008,3.12187181],
ENSG00000099800.3,[ 4.08745445 35.65196609 63.98203459],[3.47433628,nan,nan],[2.49453362,2.15305224,2.86076051],
ENSG00000109846.3,[6.32760346e-02 7.83674005e+01 1.92143712e+02],[0.06327603,nan,nan],[2.37827719,2.17746584,2.68256214],
ENSG00000205364.3,[ 0.06503155  9.59116103 23.39567116],[0.06503155,nan,nan],[2.439295,2.20526749,2.70080347],
ENSG00000163041.5,[ 4.31044408 31.82494828 74.26050205],[4.31044408,nan,nan],[2.33340527,2.22156409,2.55722986],
ENSG00000132475.4,[  3.67380039  86.48648338 199.24370544],[3.67380039,nan,nan],[2.30375543,2.22337001,2.37605534],
ENSG00000115541.6,[  3.78100021  52.00647002 119.95370053],[3.40290019,nan,nan],[2.30651495,2.23030681,2.38064749],
ENSG00000196531.6,[ 4.3108307  28.61121696 73.99425355],[4.3108307,nan,nan],[2.58619735,2.2702223,2.77933183],
ENSG00000116251.5,[  5.34308314 121.07232844 286.69989473],[4.27446651,nan,nan],[2.36800513,2.29680877,2.44188816],
ENSG00000128951.9,[2.10537451 3.67193284 9.90653844],[2.10537451,nan,nan],[2.69790839,2.29702308,3.14545264],
ENSG00000164104.7,[  1.397175   126.70682381 301.37767927],[1.397175,nan,nan],[2.3785434,2.30166895,2.45748818],
ENSG00000196230.8,[  4.17920024  43.74444873 104.93951727],[3.5523202,nan,nan],[2.39892193,2.32285893,2.47650365],
ENSG00000269028.2,[  2.97783607 207.50113404 512.64606025],[2.97783607,nan,nan],[2.47056992,2.39513333,2.54832103],
ENSG00000131143.4,[ 2.90935204  5.11906185 15.17396189],[2.90935204,nan,nan],[2.96420757,2.48490998,3.47263086],
ENSG00000124172.5,[ 4.48278499 19.84061257 56.45473354],[4.48278499,nan,nan],[2.84541283,2.49294626,3.22119869],
ENSG00000112695.7,[ 3.50051314  7.30890855 21.39356309],[3.50051314,nan,nan],[2.92705305,2.49862912,3.40130875],
ENSG00000122406.8,[  4.57049775 194.82137859 519.66706346],[4.79902264,nan,nan],[2.58738058,2.5072999,2.65470384],
ENSG00000174444.10,[ 4.35401132 24.70854496 71.67798095],[4.35401132,nan,nan],[2.90093897,2.5736011,3.25960618],
ENSG00000110536.9,[0.67320068 1.92387139 5.54965827],[0.67320068,nan,nan],[2.88463059,2.5753195,3.23246075],
ENSG00000125835.13,[ 3.07325795  5.46700704 16.62590024],[3.07325795,nan,nan],[3.04113387,2.59118431,3.5404247,]
ENSG00000026025.9,[   3.01337929  674.63828335 1825.81164772],[3.01337929,nan,nan],[2.70635642,2.61496264,2.76313162],
ENSG00000101182.10,[ 4.65650398 42.92976647 89.81066967],[3.72520318,nan,nan],[3.03345398,2.6785208,3.47377752],
